key,value,date
Service,0,10/25/16
Technical/Computing,3,10/26/16
Directional,2,10/26/16
Reference,4,10/26/16
Service,2,10/26/16
Technical/Computing,2,10/27/16
Directional,2,10/27/16
Reference,6,10/27/16
Service,4,10/27/16
Technical/Computing,1,10/28/16
Directional,3,10/28/16
Reference,3,10/28/16
Service,3,10/28/16
Technical/Computing,0,10/29/16
Directional,0,10/29/16
Reference,0,10/29/16
Service,0,10/29/16
Technical/Computing,2,10/30/16
Directional,0,10/30/16
Reference,0,10/30/16
Service,1,10/30/16
Technical/Computing,2,10/31/16
Directional,1,10/31/16
Reference,5,10/31/16
Service,4,10/31/16
Technical/Computing,5,11/01/16
Directional,0,11/01/16
Reference,0,11/01/16
Service,3,11/01/16
Technical/Computing,5,11/02/16
Directional,3,11/02/16
Reference,3,11/02/16
Service,0,11/02/16
Technical/Computing,4,11/03/16
Directional,2,11/03/16
Reference,4,11/03/16
Service,3,11/03/16
Technical/Computing,1,11/04/16
Directional,0,11/04/16
Reference,1,11/04/16
Service,2,11/04/16
Technical/Computing,0,11/05/16
Directional,0,11/05/16
Reference,0,11/05/16
Service,0,11/05/16
Technical/Computing,0,11/06/16
Directional,0,11/06/16
Reference,0,11/06/16
Service,0,11/06/16
Technical/Computing,2,11/07/16
Directional,3,11/07/16
Reference,0,11/07/16
Service,3,11/07/16
Technical/Computing,6,11/08/16
Directional,5,11/08/16
Reference,3,11/08/16
Service,6,11/08/16
Technical/Computing,1,11/09/16
Directional,1,11/09/16
Reference,2,11/09/16
Service,0,11/09/16
Technical/Computing,1,11/10/16
Directional,4,11/10/16
Reference,6,11/10/16
Service,4,11/10/16
Technical/Computing,0,11/11/16
Directional,1,11/11/16
Reference,1,11/11/16
Service,0,11/11/16
Technical/Computing,0,11/12/16
Directional,0,11/12/16
Reference,0,11/12/16
Service,1,11/12/16
Technical/Computing,0,11/13/16
Directional,0,11/13/16
Reference,2,11/13/16
Service,0,11/13/16
Technical/Computing,4,11/14/16
Directional,2,11/14/16
Reference,6,11/14/16
Service,5,11/14/16
Technical/Computing,1,11/15/16
Directional,2,11/15/16
Reference,2,11/15/16
Service,0,11/15/16
Technical/Computing,0,11/16/16
Directional,2,11/16/16
Reference,6,11/16/16
Service,2,11/16/16
Technical/Computing,3,11/17/16
Directional,1,11/17/16
Reference,3,11/17/16
Service,0,11/17/16
Technical/Computing,0,11/18/16
Directional,2,11/18/16
Reference,4,11/18/16
Service,3,11/18/16
Technical/Computing,0,11/19/16
Directional,0,11/19/16
Reference,0,11/19/16
Service,0,11/19/16
Technical/Computing,1,11/20/16
Directional,0,11/20/16
Reference,0,11/20/16
Service,0,11/20/16
Technical/Computing,0,11/21/16
Directional,0,11/21/16
Reference,0,11/21/16
Service,0,11/21/16
Technical/Computing,3,11/22/16
Directional,1,11/22/16
Reference,7,11/22/16
Service,0,11/22/16
Technical/Computing,0,11/23/16
Directional,0,11/23/16
Reference,9,11/23/16
Service,0,11/23/16
Technical/Computing,0,11/24/16
Directional,0,11/24/16
Reference,0,11/24/16
Service,0,11/24/16
Technical/Computing,0,11/25/16
Directional,0,11/25/16
Reference,0,11/25/16
Service,0,11/25/16
Technical/Computing,0,11/26/16
Directional,0,11/26/16
Reference,0,11/26/16
Service,0,11/26/16
